mandateId|lastUpdateDate|creditorId|creditorName|creditorAccountNumber|creditorSortCode|creditorIban|creditorBic|debtorName|debtorAccountNumber|debtorSortCode|debtorIban|debtorBic|debtorEmail|debtorPhone|mandateReference|mandateType|frequency|status|signatureDate|effectiveDate|expiryDate|maxAmountPerTransaction|maxAmountPerMonth|maxTransactionsPerMonth|currency|description|schemeType
MND-0000000011|2026-02-19 15:29:46|CRED000314|Oxfam GB|48313946|10-91-86|GB97NWBK10918648313946|RBOSGB2S|Isabella Cooper|32271511|50-55-60|GB84NWBK50556032271511|HSBCGBMM|isabella.cooper@sky.com|+447804624304|REF-OXFA-756927|ONE_OFF|ONE_OFF|ACTIVE|2022-02-22|2022-03-01|2025-03-01|2647.59|6736.03|1|EUR|Rent payment|SEPA_CORE
MND-0000000012|2023-10-30 01:45:22|CRED000362|AA Membership Services|83445417|05-82-38|GB74NWBK05823883445417|LOYDGBMM|Chloe James|06619238|93-00-89|GB41NWBK93008906619238|TSBSGB2L|chloejames@talktalk.net|+447808526460|REF-AAM-326615|ONE_OFF|ONE_OFF|ACTIVE|2025-02-28|2025-03-17|2027-03-17|3888.55|11665.65|10|GBP|Club dues|BACS
MND-0000000013|2025-10-13 00:03:01|CRED000883|Adobe Systems UK|64371099|32-41-43|GB22NWBK32414364371099|SWINIE21|Grace Wright|58964565|89-35-13|GB33NWBK89351358964565|SWINGBMM|grace.wright1@outlook.com|+447802417098|REF-ADOB-139873|ONE_OFF|ONE_OFF|PENDING|2023-12-04|2023-12-18|2027-12-18|4985.25|14955.75|3|GBP|Loan repayment|BACS
MND-0000000014|2026-02-19 15:29:46|CRED000496|Virgin Media Payments|38388979|48-93-33|GB20NWBK48933338388979|LOYDGB21|Emily Kumar|83112862|16-92-10|GB60NWBK16921083112862|LOYDIE2S|emily.kumar567@virginmedia.com|+447901713690|REF-VIRG-999038|ONE_OFF|ONE_OFF|ACTIVE|2024-07-07|2024-07-21|2025-07-21|1975.60|3951.20|7|GBP|Revised direct debit|BACS
MND-0000000015|2024-05-18 22:37:25|CRED000556|Microsoft Ireland|64021724|33-43-77|GB65NWBK33437764021724|SANTGB21|Benjamin Watson|75857717|08-93-55|GB38NWBK08935575857717|SWINGB21|benjaminwatson@sky.com|+447802587813|REF-MICR-051061|RECURRING|MONTHLY|ACTIVE|2021-11-19|2021-11-27|2025-11-27|1219.05|6095.25|10|GBP|Club dues|SEPA_B2B
MND-0000000016|2026-02-19 15:29:46|CRED000811|Spotify AB|57019733|12-45-00|GB58NWBK12450057019733|HSBCGB2S|Max Young|66390582|10-18-87|GB67NWBK10188766390582|SANTGB2L|max.young@btinternet.com|+447906835343|REF-SPOT-804594|ONE_OFF|ONE_OFF|SUSPENDED|2022-11-13|2022-12-03|2027-12-03|3000.35|963.00|5|GBP|Insurance premium|BACS
MND-0000000017|2025-01-17 00:18:09|CRED000319|PureGym Limited|37255837|54-96-94|GB35NWBK54969437255837|BARCIE2S|Ivy Murphy|78083445|48-60-24|GB29NWBK48602478083445|SWINIE2L|ivy.murphy51@virginmedia.com|+447703382211|REF-PURE-793160|RECURRING|FORTNIGHTLY|ACTIVE|2020-06-05|2020-06-12|2022-06-12|2120.19|10600.95|10|GBP|Broadband service|BACS
MND-0000000018|2024-02-03 02:24:18|CRED000932|Dropbox UK Ltd|12261344|72-37-82|GB29NWBK72378212261344|MIDLGB22|David Brown|70313314|55-40-43|GB20NWBK55404370313314|SWINGBMM|david.brown46@talktalk.net|+447800611716|REF-DROP-795168|ONE_OFF|ONE_OFF|PENDING|2025-06-01|2025-07-01|2027-07-01|895.23|1790.46|1|GBP|Water rates|BACS
MND-0000000019|2025-12-26 22:16:24|CRED000022|Now TV Limited|42578226|52-92-33|GB77NWBK52923342578226|RBOSGB2S|Sienna Wood|66676168|31-05-03|GB84NWBK31050366676168|RBOSGB2L|sienna68@talktalk.net|+447902023123|REF-NOW-716055|ONE_OFF|ONE_OFF|ACTIVE|2026-10-23|2026-11-21|2030-11-21|3019.50|6039.00|4|GBP|Gym membership|SEPA_CORE
MND-0000000020|2024-09-10 16:29:13|CRED000415|Northumbrian Water|88334719|54-11-65|GB11NWBK54116588334719|SANTGB2L|Thomas Moore|17156235|34-77-54|GB54NWBK34775417156235|HSBCIE22|thomas.moore@btinternet.com|+447708358628|REF-NORT-739570|RECURRING|FORTNIGHTLY|ACTIVE|2020-11-25|2020-12-13|2022-12-13|4599.61|13798.83|4|EUR|Phone contract|SEPA_CORE
MND-0000000021|2026-02-19 15:29:46|CRED000692|Aviva Insurance Ltd|27064707|12-30-06|GB86NWBK12300627064707|SWINGBMM|Lucas Martin|19168729|04-80-41|GB88NWBK04804119168729|NATWIE21|lucasmartin@virginmedia.com|+447709789779|REF-AVIV-795477|RECURRING|FORTNIGHTLY|ACTIVE|2024-07-11|2024-08-03|2029-08-03|4545.07|13635.21|2|GBP|Amended standing order|SEPA_CORE
MND-0000000022|2023-01-31 02:02:18|CRED000569|Scottish Power Energy|17599650|38-86-15|GB87NWBK38861517599650|NWBKGB2S|Esme Green|90328353|54-64-46|GB99NWBK54644690328353|SANTGBMM|esme_green@btinternet.com|+447905651079|REF-SCOT-936097|ONE_OFF|ONE_OFF|ACTIVE|2020-10-03|2020-10-28|2022-10-28|2391.22|7173.66|6|GBP|Insurance premium|BACS
MND-0000000023|2026-02-19 15:29:46|CRED000375|Vodafone UK|65822557|41-59-78|GB89NWBK41597865822557|SANTGBMM|Sienna Roberts|16783701|70-28-08|GB95NWBK70280816783701|BARCIE21|sienna.roberts17@sky.com|+447801410408|REF-VODA-425119|RECURRING|FORTNIGHTLY|PENDING|2026-01-22|2026-01-23|2031-01-23|1802.08|9010.40|6|GBP|Utility bill payment|SEPA_B2B
MND-0000000024|2026-02-19 15:29:46|CRED000780|EDF Energy Customers Plc|21104035|51-24-06|GB87NWBK51240621104035|SANTGB22|Florence Evans|00600628|10-44-24|GB42NWBK10442400600628|SWINGB22|florence.evans771@virginmedia.com|+447800224788|REF-EDF-911090|RECURRING|FORTNIGHTLY|CANCELLED|2025-12-13|2026-01-01|2029-01-01|2593.94|12969.70|6|GBP|Water rates|BACS
MND-0000000025|2026-10-18 22:03:52|CRED000898|EDF Energy Customers Plc|87145158|56-17-70|GB69NWBK56177087145158|HSBCGB2L|Paul Harris|10424502|46-27-19|GB86NWBK46271910424502|TSBSGB2L|paul41@btinternet.com|+447808393727|REF-EDF-786697|RECURRING|FORTNIGHTLY|SUSPENDED|2024-06-02|2024-06-13|2029-06-13|3044.85|9134.55|7|GBP|Broadband service|SEPA_CORE
MND-0000000026|2024-12-26 02:24:11|CRED000742|Admiral Insurance|41000215|07-85-53|GB38NWBK07855341000215|NATWIE2S|Lily Lewis|38761209|73-41-41|GB91NWBK73414138761209|SANTGB22|lily21@virginmedia.com|+447800056230|REF-ADMI-500566|RECURRING|ANNUALLY|ACTIVE|2020-02-04|2020-02-06|2025-02-06|261.08|1305.40|10|GBP|Monthly subscription|BACS
MND-0000000027|2023-02-02 13:14:44|CRED000319|Google Payment Ltd|56455076|70-62-79|GB10NWBK70627956455076|MIDLGB22|Sarah Scott|93772958|45-52-04|GB55NWBK45520493772958|SANTGB21|sarah_scott@virginmedia.com|+447705323536|REF-GOOG-171943|ONE_OFF|ONE_OFF|ACTIVE|2022-09-25|2022-10-07|2026-10-07|3350.00|16750.00|10|EUR|Charity donation|SEPA_CORE
MND-0000000028|2023-12-03 06:47:58|CRED000696|WWF UK|17077450|17-06-79|GB19NWBK17067917077450|SANTIE21|Alice O'Connor|74748823|44-30-53|GB57NWBK44305374748823|MIDLIE2S|aliceo'connor@sky.com|+447702719039|REF-WWF-261959|ONE_OFF|ONE_OFF|ACTIVE|2022-08-31|2022-09-17|2025-09-17|4485.36|4485.36|9|EUR|Mortgage payment|SEPA_CORE
MND-0000000029|2026-02-02 02:21:33|CRED000686|Now TV Limited|20192943|42-19-89|GB71NWBK42198920192943|BARCGB21|Sienna Thompson|79395855|53-17-19|GB92NWBK53171979395855|LOYDGB21|sienna67@btinternet.com|+447906328731|REF-NOW-931722|ONE_OFF|ONE_OFF|ACTIVE|2022-01-16|2022-02-12|2027-02-12|3918.77|3918.77|3|EUR|Gym membership|SEPA_CORE
MND-0000000030|2026-02-19 15:29:46|CRED000154|Vodafone UK|90028702|72-65-36|GB11NWBK72653690028702|NWBKGB2L|Max Jones|27184978|41-44-05|GB18NWBK41440527184978|LOYDGBMM|maxjones@talktalk.net|+447808903525|REF-VODA-423064|RECURRING|MONTHLY|ACTIVE|2025-07-06|2025-07-13|2026-07-13|1884.96|7539.84|5|GBP|Membership fee|SEPA_CORE
MND-0000000031|2026-02-19 15:29:46|CRED000232|Apple Services|67784101|60-96-11|GB24NWBK60961167784101|BARCGB2S|Freddie Begum|82864097|58-64-28|GB11NWBK58642882864097|SWINGB21|freddiebegum81@outlook.com|+447701847782|REF-APPL-690515|ONE_OFF|ONE_OFF|ACTIVE|2025-12-31|2026-01-27|2028-01-27|2795.99|7428.90|7|GBP|Utility bill payment|BACS
MND-0000000032|2023-05-08 00:24:13|CRED000062|Direct Line Insurance|01741689|41-42-64|GB79NWBK41426401741689|MIDLIE22|Florence Cook|48613692|17-83-81|GB81NWBK17838148613692|NWBKGB2S|florence.cook5@sky.com|+447907050806|REF-DIRE-328267|RECURRING|FORTNIGHTLY|SUSPENDED|2026-07-04|2026-07-24|2030-07-24|1991.16|1991.16|9|GBP|Phone contract|BACS
MND-0000000033|2026-02-19 15:29:46|CRED000864|Now TV Limited|22584726|77-88-11|GB83NWBK77881122584726|MIDLGB21|Freya Kelly|08196689|87-98-21|GB11NWBK87982108196689|HSBCGB2L|freya.kelly@gmail.com|+447705806452|REF-NOW-592427|ONE_OFF|ONE_OFF|ACTIVE|2020-01-20|2020-01-26|2021-01-26|1151.80|5759.00|6|GBP|Updated payment plan|SEPA_B2B
MND-0000000034|2026-02-19 15:29:46|CRED000572|Spotify AB|02189837|56-16-32|GB27NWBK56163202189837|BARCGB22|Mia Shaw|26218932|16-57-65|GB78NWBK16576526218932|LOYDIE21|mia69@gmail.com|+447702899464|REF-SPOT-794072|RECURRING|QUARTERLY|PENDING|2026-05-30|2026-06-28|2031-06-28|4789.11|19156.44|7|GBP|Updated payment plan|SEPA_B2B
MND-0000000035|2026-02-19 15:29:46|CRED000688|O2 UK Limited|61970454|35-77-16|GB30NWBK35771661970454|LOYDGB21|Maya Smith|21680570|35-20-17|GB76NWBK35201721680570|BARCIE2L|maya10@yahoo.co.uk|+447904399649|REF-OU-632641|ONE_OFF|ONE_OFF|ACTIVE|2021-12-08|2021-12-30|2023-12-30|1203.42|8260.46|7|GBP|Monthly subscription|SEPA_B2B
MND-0000000036|2024-09-24 13:59:51|CRED000707|South West Water Ltd|46370189|80-45-09|GB22NWBK80450946370189|NWBKGB21|Florence Ryan|35035518|40-63-47|GB41NWBK40634735035518|TSBSGB21|florence.ryan26@hotmail.com|+447806720132|REF-SOUT-469561|RECURRING|QUARTERLY|PENDING|2024-05-24|2024-06-11|2026-06-11|1747.86|8739.30|5|GBP|Utility bill payment|BACS
MND-0000000037|2026-02-19 15:29:46|CRED000087|Cancer Research UK|61274355|48-02-00|GB23NWBK48020061274355|TSBSIE22|Henry Hussain|34230233|15-37-43|GB11NWBK15374334230233|NATWGB21|henryhussain@hotmail.com|+447702921127|REF-CANC-327258|RECURRING|WEEKLY|ACTIVE|2024-01-22|2024-02-05|2025-02-05|4695.71|18782.84|8|GBP|Utility bill payment|BACS
MND-0000000038|2026-02-19 15:29:46|CRED000589|Audible UK|94333972|83-88-70|GB53NWBK83887094333972|HSBCGB21|Ella Clark|23758448|15-45-90|GB62NWBK15459023758448|NATWGB21|ella_clark@icloud.com|+447708438235|REF-AUDI-601908|RECURRING|WEEKLY|ACTIVE|2021-10-02|2021-10-27|2023-10-27|749.97|749.97|19|EUR|Utility bill payment|SEPA_CORE
MND-0000000039|2023-10-08 01:15:37|CRED000655|Ovo Energy Limited|45378508|08-32-36|GB14NWBK08323645378508|LOYDGB2L|Christopher Sharma|54011197|32-17-32|GB15NWBK32173254011197|RBOSGB2L|christopher47@sky.com|+447809408288|REF-OVO-814888|ONE_OFF|ONE_OFF|ACTIVE|2024-05-25|2024-05-30|2026-05-30|789.39|3157.56|9|GBP|Council tax|BACS
MND-0000000040|2026-02-19 15:29:46|CRED000140|Sky UK Limited|96032365|60-06-30|GB74NWBK60063096032365|NATWGB2L|Rebecca Shaw|18463512|90-09-67|GB94NWBK90096718463512|TSBSGB2S|rebecca.shaw@yahoo.co.uk|+447804445550|REF-SKY-493928|ONE_OFF|ONE_OFF|SUSPENDED|2026-09-08|2026-10-03|2028-10-03|2117.48|4272.65|3|EUR|Service subscription|SEPA_CORE
MND-0000000041|2025-05-17 13:57:48|CRED000776|Sky UK Limited|92951457|82-60-34|GB82NWBK82603492951457|TSBSGB2S|Jacob Wilson|89806684|74-24-43|GB31NWBK74244389806684|LOYDGB21|jacob27@sky.com|+447709606169|REF-SKY-473684|RECURRING|QUARTERLY|PENDING|2026-04-12|2026-04-23|2030-04-23|4938.27|24691.35|4|GBP|Loan repayment|BACS
MND-0000000042|2026-02-19 15:29:46|CRED000978|PureGym Limited|15732628|57-76-52|GB19NWBK57765215732628|SWINIE22|Ava King|39974358|77-50-44|GB56NWBK77504439974358|RBOSGBMM|avaking219@virginmedia.com|+447901904766|REF-PURE-956347|RECURRING|MONTHLY|SUSPENDED|2020-11-22|2020-12-15|2023-12-15|4096.61|4096.61|4|GBP|Club dues|BACS
MND-0000000043|2026-02-19 15:29:46|CRED000193|Microsoft Ireland|36607975|72-14-53|GB80NWBK72145336607975|LOYDIE2L|Willow Lee|15863119|56-63-41|GB86NWBK56634115863119|RBOSIE22|willow.lee73@hotmail.com|+447904743999|REF-MICR-940863|RECURRING|FORTNIGHTLY|ACTIVE|2021-06-19|2021-07-10|2022-07-10|383.34|3566.93|6|EUR|Service subscription|SEPA_CORE
MND-0000000044|2023-04-23 07:52:26|CRED000276|WWF UK|11481751|87-50-88|GB90NWBK87508811481751|LOYDGBMM|Jack Ahmed|72599216|05-01-86|GB42NWBK05018672599216|HSBCGB21|jack82@talktalk.net|+447904614969|REF-WWF-715559|ONE_OFF|ONE_OFF|ACTIVE|2022-02-12|2022-03-08|2026-03-08|135.13|270.26|1|GBP|Membership fee|BACS
MND-0000000045|2026-02-19 15:29:46|CRED000688|RAC Motoring Services|16713281|14-61-38|GB44NWBK14613816713281|SANTGB2S|David Thompson|71828389|37-30-84|GB44NWBK37308471828389|MIDLGBMM|davidthompson554@aol.com|+447902955729|REF-RAC-534072|RECURRING|WEEKLY|ACTIVE|2024-08-17|2024-08-18|2026-08-18|2844.17|11376.68|7|GBP|TV subscription|BACS
MND-0000000046|2026-02-19 15:29:46|CRED000408|Now TV Limited|23323427|36-65-71|GB43NWBK36657123323427|RBOSIE21|Maya Walker|80291158|72-57-60|GB11NWBK72576080291158|LOYDGB21|maya_walker@outlook.com|+447808292954|REF-NOW-441740|RECURRING|FORTNIGHTLY|PENDING|2021-10-26|2021-10-30|2024-10-30|2518.60|2518.60|9|EUR|Broadband service|SEPA_CORE
MND-0000000047|2026-02-19 15:29:46|CRED000941|Aviva Insurance Ltd|99913003|73-42-06|GB74NWBK73420699913003|HSBCGB21|Max Byrne|77190767|32-90-27|GB46NWBK32902777190767|SWINGB2L|max69@talktalk.net|+447801689689|REF-AVIV-579184|RECURRING|MONTHLY|SUSPENDED|2024-12-17|2025-01-16|2027-01-16|597.04|597.04|9|GBP|Service subscription|SEPA_CORE
MND-0000000048|2026-02-19 15:29:46|CRED000913|EDF Energy Customers Plc|59136157|23-11-91|GB74NWBK23119159136157|NATWGB21|Lily Hughes|36629531|18-95-66|GB64NWBK18956636629531|NWBKGBMM|lily_hughes@icloud.com|+447700785467|REF-EDF-514255|ONE_OFF|ONE_OFF|ACTIVE|2022-02-24|2022-03-21|2023-03-21|3361.75|13264.35|9|GBP|Service subscription|SEPA_CORE
MND-0000000049|2026-05-02 14:48:48|CRED000077|Shell Energy Retail|19639251|36-59-88|GB48NWBK36598819639251|BARCGBMM|Richard Wood|37947009|18-40-89|GB10NWBK18408937947009|LOYDGBMM|richard55@aol.com|+447702272558|REF-SHEL-247378|RECURRING|QUARTERLY|ACTIVE|2025-02-21|2025-03-22|2030-03-22|2809.80|11239.20|9|GBP|Insurance premium|SEPA_CORE
MND-0000000050|2023-06-05 04:27:45|CRED000053|Birmingham City Council|98838178|04-68-34|GB53NWBK04683498838178|SANTIE21|Willow Byrne|36439499|83-82-65|GB62NWBK83826536439499|MIDLGB21|willow.byrne1@gmail.com|+447805831754|REF-BIRM-156756|RECURRING|QUARTERLY|ACTIVE|2023-09-02|2023-09-28|2025-09-28|2294.29|9177.16|4|EUR|Utility bill payment|SEPA_CORE
MND-0000000051|2024-06-05 13:08:03|CRED000691|Scottish Power Energy|37247237|93-44-64|GB34NWBK93446437247237|NWBKGB22|James Begum|57532022|47-21-96|GB74NWBK47219657532022|NWBKGB2L|james22@hotmail.com|+447808926662|REF-SCOT-569730|RECURRING|FORTNIGHTLY|PENDING|2021-07-08|2021-07-14|2024-07-14|2817.54|8452.62|10|GBP|Club dues|BACS
MND-0000000052|2026-02-12 22:08:58|CRED000999|Sky UK Limited|85683124|33-87-66|GB71NWBK33876685683124|TSBSGB2S|Charlotte Scott|17161905|08-39-76|GB29NWBK08397617161905|NWBKGB21|charlottescott@aol.com|+447709289596|REF-SKY-963803|RECURRING|MONTHLY|ACTIVE|2021-10-16|2021-10-28|2023-10-28|2398.72|11993.60|9|EUR|Club dues|SEPA_CORE
MND-0000000053|2025-03-11 12:41:24|CRED000375|Microsoft Ireland|11465789|33-88-59|GB85NWBK33885911465789|NWBKGBMM|Mia Young|72100277|05-37-48|GB91NWBK05374872100277|NATWGB2L|mia17@btinternet.com|+447901916652|REF-MICR-242643|ONE_OFF|ONE_OFF|PENDING|2025-03-23|2025-04-05|2027-04-05|4122.32|8244.64|4|GBP|Energy bill|SEPA_B2B
MND-0000000054|2023-12-08 18:19:00|CRED000321|Save the Children UK|55419662|30-94-14|GB77NWBK30941455419662|RBOSGB22|Charles Murphy|68284322|55-88-85|GB67NWBK55888568284322|HSBCIE2S|charles.murphy31@virginmedia.com|+447805154617|REF-SAVE-611540|ONE_OFF|ONE_OFF|ACTIVE|2025-03-15|2025-04-09|2029-04-09|48.03|96.06|5|GBP|TV subscription|BACS
MND-0000000055|2024-07-22 13:14:07|CRED000874|Aviva Insurance Ltd|19502559|87-75-24|GB74NWBK87752419502559|BARCGB2S|Henry Ali|31993413|37-85-98|GB32NWBK37859831993413|SWINGB2L|henry64@talktalk.net|+447902254110|REF-AVIV-712761|RECURRING|FORTNIGHTLY|SUSPENDED|2021-04-02|2021-04-21|2022-04-21|261.51|1307.55|3|GBP|Membership fee|SEPA_B2B
MND-0000000056|2023-11-08 13:31:45|CRED000527|Google Payment Ltd|00007330|32-32-29|GB24NWBK32322900007330|SWINGB22|Theodore Roberts|66991221|05-27-21|GB22NWBK05272166991221|LOYDGB21|theodore_roberts@gmail.com|+447807526212|REF-GOOG-037350|ONE_OFF|ONE_OFF|ACTIVE|2023-08-08|2023-08-10|2028-08-10|1308.67|2617.34|2|GBP|Rent payment|BACS
MND-0000000057|2026-02-19 15:29:46|CRED000539|London Borough Council|39646666|19-32-48|GB83NWBK19324839646666|HSBCGB2S|Thomas Parker|26100463|12-91-20|GB35NWBK12912026100463|HSBCGB2L|thomas.parker1@virginmedia.com|+447904007656|REF-LOND-034152|ONE_OFF|ONE_OFF|ACTIVE|2020-10-28|2020-11-14|2024-11-14|2214.73|409.66|8|GBP|Membership fee|BACS
MND-0000000058|2026-02-19 15:29:46|CRED000610|Virgin Media Payments|97190922|44-99-28|GB94NWBK44992897190922|HSBCGBMM|Lucas Roberts|05872940|41-78-53|GB38NWBK41785305872940|NWBKGB22|lucas_roberts@aol.com|+447900321000|REF-VIRG-519796|RECURRING|ANNUALLY|CANCELLED|2023-06-26|2023-07-24|2025-07-24|1431.15|5724.60|7|GBP|Rent payment|BACS
MND-0000000059|2024-09-14 18:28:28|CRED000249|Northumbrian Water|98377077|14-70-01|GB72NWBK14700198377077|HSBCGB21|Sebastian Watson|10582086|14-46-77|GB72NWBK14467710582086|NWBKGB2S|sebastian.watson31@icloud.com|+447905962174|REF-NORT-207122|RECURRING|QUARTERLY|PENDING|2026-02-14|2026-03-11|2030-03-11|2973.97|8921.91|8|GBP|Regular savings|BACS
MND-0000000060|2026-02-19 15:29:46|CRED000351|Audible UK|70429668|13-85-26|GB42NWBK13852670429668|SANTGB2S|Mohammed Hall|41463044|46-95-85|GB98NWBK46958541463044|NATWGB2L|mohammed15@outlook.com|+447709051273|REF-AUDI-893281|RECURRING|FORTNIGHTLY|ACTIVE|2020-12-05|2020-12-09|2022-12-09|3268.59|8757.43|1|GBP|Revised direct debit|BACS
MND-0000000061|2025-01-17 02:52:13|CRED000400|Adobe Systems UK|83359390|49-48-34|GB55NWBK49483483359390|BARCGBMM|Arthur Jones|94428670|40-74-47|GB65NWBK40744794428670|MIDLGB2L|arthur.jones@outlook.com|+447704973703|REF-ADOB-707936|RECURRING|QUARTERLY|SUSPENDED|2026-04-03|2026-05-03|2031-05-03|4844.09|14532.27|6|GBP|Water rates|BACS
MND-0000000062|2026-02-19 15:29:46|CRED000933|WWF UK|25772932|18-10-94|GB81NWBK18109425772932|SANTGB22|Alfie James|01543974|60-37-74|GB96NWBK60377401543974|SWINGB2S|alfie.james@virginmedia.com|+447903547623|REF-WWF-483886|ONE_OFF|ONE_OFF|SUSPENDED|2025-12-20|2026-01-18|2029-01-18|3769.31|15077.24|20|GBP|Broadband service|SEPA_CORE
MND-0000000063|2026-12-17 23:46:43|CRED000040|Disney Plus UK|25020726|16-86-59|GB53NWBK16865925020726|RBOSGB2S|Christopher Young|11083939|13-91-31|GB23NWBK13913111083939|MIDLGBMM|christopher.young52@yahoo.co.uk|+447901211622|REF-DISN-242472|RECURRING|ANNUALLY|SUSPENDED|2026-09-27|2026-10-08|2029-10-08|4264.22|21321.10|9|GBP|Energy bill|SEPA_CORE
MND-0000000064|2023-05-08 15:39:20|CRED000993|United Utilities Water|34482048|09-06-68|GB92NWBK09066834482048|NWBKGB2S|Jennifer James|29654782|54-47-09|GB34NWBK54470929654782|NWBKIE21|jennifer.james34@hotmail.com|+447906497885|REF-UNIT-595812|RECURRING|QUARTERLY|SUSPENDED|2026-03-03|2026-03-05|2031-03-05|297.71|297.71|9|GBP|Energy bill|SEPA_CORE
MND-0000000065|2023-09-01 10:17:44|CRED000789|South West Water Ltd|91190147|34-06-30|GB80NWBK34063091190147|RBOSIE21|Chloe Thomas|84907173|01-81-42|GB49NWBK01814284907173|LOYDGB2S|chloe42@yahoo.co.uk|+447704838717|REF-SOUT-917147|RECURRING|ANNUALLY|ACTIVE|2020-05-02|2020-05-09|2022-05-09|3301.27|16506.35|3|GBP|Utility bill payment|BACS
